player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Jermaine O'Neal,IND,22.0,210.82,102.511792,81,12.9,9.8,1.2,0.7,0.111,0.22,0.214,0.501,0.066,2000-01
Jerome Kersey,MIL,39.0,200.66,97.52228,22,3.3,2.0,0.7,1.3,0.036,0.196,0.15,0.473,0.098,2000-01
Jason Williams,SAC,25.0,185.42,86.18248,77,9.4,2.4,5.4,5.4,0.009,0.075,0.1669999999999999,0.498,0.256,2000-01
Jelani McCoy,SEA,23.0,208.28,111.13004,70,4.5,3.6,0.8,-4.2,0.091,0.153,0.155,0.52,0.0819999999999999,2000-01
Jeff McInnis,LAC,26.0,193.04,80.73937600000001,81,12.9,2.7,5.5,-5.5,0.017,0.071,0.183,0.521,0.27,2000-01
Jeff Foster,IND,24.0,210.82,109.769264,71,3.5,5.5,0.5,4.1,0.144,0.236,0.121,0.492,0.047,2000-01
Jaren Jackson,SAS,33.0,193.04,86.18248,16,2.4,0.8,0.4,-4.5,0.011,0.1009999999999999,0.181,0.477,0.095,2000-01
Jason Kidd,PHX,28.0,193.04,96.161504,77,16.9,6.4,9.8,2.0,0.033,0.151,0.2269999999999999,0.51,0.419,2000-01
Jason Hart,MIL,23.0,187.96,82.10015200000001,1,2.0,0.0,1.0,-7.3,0.0,0.0,0.126,1.0,0.25,2000-01
Jason Collier,HOU,23.0,213.36,117.93392,23,3.1,1.6,0.3,-12.5,0.059,0.16,0.1939999999999999,0.435,0.05,2000-01
Jason Caffey,MIL,28.0,203.2,116.119552,70,7.1,5.0,0.8,-1.2,0.106,0.1689999999999999,0.168,0.544,0.057,2000-01
Jerome Moiso,BOS,23.0,208.28,105.233344,24,1.5,1.8,0.1,-2.2,0.091,0.273,0.187,0.422,0.043,2000-01
Jamie Feick,NJN,26.0,205.74,115.66596,6,3.7,9.3,0.8,-4.3,0.091,0.319,0.105,0.389,0.053,2000-01
James Robinson,ORL,30.0,187.96,81.64656,6,1.7,1.3,0.0,1.3,0.0,0.211,0.1369999999999999,0.455,0.0,2000-01
James Posey,DEN,24.0,203.2,97.52228,82,8.1,5.3,2.0,1.3,0.0579999999999999,0.146,0.149,0.511,0.11,2000-01
Jason Terry,ATL,23.0,187.96,78.017824,82,19.7,3.3,4.9,-5.8,0.015,0.081,0.252,0.531,0.236,2000-01
Jerome Williams,TOR,28.0,205.74,93.439952,59,6.3,6.5,0.8,0.1,0.121,0.239,0.153,0.526,0.062,2000-01
John Stockton,UTA,39.0,185.42,79.3786,82,11.5,2.8,8.7,11.4,0.0289999999999999,0.087,0.186,0.61,0.452,2000-01
Jim Jackson,CLE,30.0,198.12,99.79024,56,11.5,4.0,2.9,-8.9,0.035,0.119,0.2239999999999999,0.455,0.176,2000-01
Karl Malone,UTA,37.0,205.74,116.119552,81,23.2,8.3,4.5,5.8,0.05,0.236,0.299,0.5720000000000001,0.2339999999999999,2000-01
Jamel Thomas,NJN,24.0,198.12,99.336648,5,2.6,1.8,0.0,-16.2,0.068,0.104,0.1939999999999999,0.342,0.0,2000-01
Juwan Howard,DAL,28.0,205.74,113.398,81,18.0,7.1,2.8,-1.4,0.067,0.156,0.246,0.527,0.135,2000-01
Jumaine Jones,PHI,22.0,203.2,98.883056,65,4.7,2.9,0.5,-0.7,0.079,0.166,0.173,0.51,0.064,2000-01
Jud Buechler,DET,33.0,198.12,103.418976,57,3.4,1.6,0.7,0.0,0.0289999999999999,0.111,0.114,0.568,0.083,2000-01
Jonathan Bender,IND,20.0,210.82,89.811216,59,3.3,1.3,0.5,-8.4,0.0279999999999999,0.11,0.203,0.447,0.111,2000-01
Jon Barry,SAC,31.0,195.58,95.25432,62,5.1,1.5,2.1,4.7,0.017,0.081,0.151,0.55,0.207,2000-01
Jerry Stackhouse,DET,26.0,198.12,98.883056,80,29.8,3.9,5.1,-1.2,0.032,0.073,0.348,0.521,0.258,2000-01
Johnny Newman,NJN,37.0,200.66,95.25432,82,10.9,2.1,1.4,-8.6,0.019,0.0819999999999999,0.208,0.542,0.105,2000-01
John Starks,UTA,35.0,195.58,86.18248,75,9.3,2.1,2.4,3.8,0.017,0.073,0.181,0.476,0.13,2000-01
John Crotty,UTA,31.0,187.96,87.996848,31,2.1,0.9,1.1,0.7,0.0579999999999999,0.07,0.159,0.4429999999999999,0.211,2000-01
John Coker,GSW,29.0,213.36,114.758776,6,0.3,0.8,0.3,-0.1,0.115,0.087,0.1369999999999999,0.125,0.083,2000-01
John Amaechi,ORL,30.0,208.28,122.46984,82,7.9,3.3,0.9,-5.3,0.048,0.128,0.2189999999999999,0.455,0.074,2000-01
Joel Przybilla,MIL,21.0,215.9,115.66596,33,0.8,2.2,0.1,-9.5,0.115,0.161,0.09,0.3389999999999999,0.011,2000-01
Joe Smith,DET,25.0,208.28,102.0582,69,12.3,7.1,1.1,-0.1,0.086,0.188,0.22,0.475,0.069,2000-01
Jim McIlvaine,NJN,28.0,215.9,108.86208,18,1.6,1.9,0.2,-11.7,0.048,0.179,0.099,0.421,0.038,2000-01
John Wallace,DET,27.0,205.74,102.0582,40,5.9,2.1,0.6,-8.8,0.049,0.121,0.2339999999999999,0.4629999999999999,0.0819999999999999,2000-01
Jamal Robinson,MIA,27.0,200.66,96.161504,6,1.0,1.8,0.3,-4.8,0.042,0.145,0.161,0.136,0.051,2000-01
Greg Anthony,POR,33.0,185.42,81.64656,58,4.9,1.1,1.4,0.0,0.032,0.0559999999999999,0.171,0.527,0.162,2000-01
Jamal Crawford,CHI,21.0,195.58,90.7184,61,4.6,1.5,2.3,-14.1,0.01,0.092,0.178,0.442,0.235,2000-01
Greg Foster,LAL,32.0,210.82,113.398,62,2.0,1.8,0.5,-11.2,0.071,0.22,0.171,0.449,0.125,2000-01
Greg Buckner,DAL,24.0,193.04,95.25432,37,6.2,4.2,1.3,5.0,0.086,0.135,0.145,0.503,0.089,2000-01
Grant Long,VAN,35.0,205.74,113.398,66,6.0,4.2,1.3,-7.8,0.0579999999999999,0.149,0.1369999999999999,0.51,0.092,2000-01
Grant Hill,ORL,28.0,203.2,102.0582,4,13.8,6.3,6.3,-5.5,0.061,0.147,0.216,0.505,0.3289999999999999,2000-01
Glenn Robinson,MIL,28.0,200.66,104.32616,76,22.0,6.9,3.3,4.6,0.051,0.156,0.288,0.525,0.157,2000-01
Glen Rice,NYK,34.0,203.2,99.79024,75,12.0,4.1,1.2,4.5,0.035,0.135,0.206,0.54,0.074,2000-01
Gerard King,WAS,28.0,205.74,104.32616,45,4.8,2.9,0.7,-8.9,0.062,0.1639999999999999,0.153,0.552,0.08,2000-01
