quadruplet
"(Jermaine O'Neal, reb, dreb_pct, oreb_pct)"
"(Jerome Kersey, age, dreb_pct, net_rating)"
"(Jason Williams, ast, ast_pct, gp)"
"(Jelani McCoy, player_height, oreb_pct, player_weight)"
"(Jeff McInnis, ast, ast_pct, gp)"
"(Jeff Foster, oreb_pct, dreb_pct, player_height)"
"(Jaren Jackson, age, nan, nan)"
"(Jason Kidd, ast, ast_pct, pts)"
"(Jason Hart, ts_pct, ast_pct, nan)"
"(Jason Collier, player_height, player_weight, dreb_pct)"
"(Jason Caffey, player_weight, oreb_pct, gp)"
"(Jerome Moiso, dreb_pct, player_height, oreb_pct)"
"(Jamie Feick, dreb_pct, reb, player_weight)"
"(James Robinson, dreb_pct, age, net_rating)"
"(James Posey, gp, reb, net_rating)"
"(Jason Terry, pts, ast, usg_pct)"
"(Jerome Williams, dreb_pct, oreb_pct, reb)"
"(John Stockton, ast, ast_pct, age)"
"(Jim Jackson, usg_pct, ast, pts)"
"(Karl Malone, pts, usg_pct, age)"
"(Jamel Thomas, oreb_pct, usg_pct, nan)"
"(Juwan Howard, pts, reb, usg_pct)"
"(Jumaine Jones, dreb_pct, oreb_pct, gp)"
"(Jud Buechler, age, ts_pct, net_rating)"
"(Jonathan Bender, player_height, usg_pct, gp)"
"(Jon Barry, age, ast_pct, net_rating)"
"(Jerry Stackhouse, pts, usg_pct, ast)"
"(Johnny Newman, age, gp, ts_pct)"
"(John Starks, age, gp, net_rating)"
"(John Crotty, ast_pct, age, net_rating)"
"(John Coker, oreb_pct, player_height, player_weight)"
"(John Amaechi, player_weight, gp, player_height)"
"(Joel Przybilla, player_height, oreb_pct, player_weight)"
"(Joe Smith, reb, dreb_pct, player_height)"
"(Jim McIlvaine, player_height, dreb_pct, player_weight)"
"(John Wallace, usg_pct, player_height, player_weight)"
"(Jamal Robinson, dreb_pct, nan, nan)"
"(Greg Anthony, age, ts_pct, ast_pct)"
"(Jamal Crawford, ast_pct, ast, gp)"
"(Greg Foster, dreb_pct, player_height, age)"
"(Greg Buckner, net_rating, oreb_pct, reb)"
"(Grant Long, age, player_weight, player_height)"
"(Grant Hill, ast, ast_pct, reb)"
"(Glenn Robinson, pts, usg_pct, reb)"
"(Glen Rice, age, gp, pts)"
"(Gerard King, ts_pct, player_height, dreb_pct)"
"(Greg Ostertag, player_weight, oreb_pct, player_height)"
"(George McCloud, age, ast, ast_pct)"
"(Gary Trent, oreb_pct, usg_pct, player_weight)"
"(Gary Payton, ast, pts, ast_pct)"
"(Gary Grant, ts_pct, age, net_rating)"
"(Garth Joseph, player_weight, player_height, oreb_pct)"
"(Fred Hoiberg, ts_pct, ast, gp)"
"(Felton Spencer, oreb_pct, ts_pct, player_weight)"
"(Keith Van Horn, pts, reb, player_weight)"
"(George Lynch, reb, gp, net_rating)"
"(Jamal Mashburn, ast, pts, usg_pct)"
"(Hakeem Olajuwon, age, reb, dreb_pct)"
"(Hedo Turkoglu, net_rating, gp, player_height)"
"(Jamaal Magloire, player_weight, oreb_pct, dreb_pct)"
"(Jalen Rose, ast, pts, ast_pct)"
"(Jake Voskuhl, dreb_pct, player_height, oreb_pct)"
"(Jake Tsakalidis, player_weight, player_height, oreb_pct)"
"(Jahidi White, player_weight, dreb_pct, oreb_pct)"
"(Jacque Vaughn, ast_pct, ast, gp)"
"(Jabari Smith, player_height, player_weight, net_rating)"
"(Hanno Mottola, player_height, player_weight, gp)"
"(J.R. Reid, oreb_pct, age, ts_pct)"
"(Ira Newble, oreb_pct, dreb_pct, nan)"
"(Ira Bowman, ast_pct, oreb_pct, ast)"
"(Ike Austin, dreb_pct, player_weight, age)"
"(Hubert Davis, ts_pct, age, gp)"
"(Howard Eisley, gp, ast, net_rating)"
"(Horace Grant, age, reb, oreb_pct)"
"(Hersey Hawkins, age, ts_pct, ast_pct)"
"(Isaiah Rider, usg_pct, age, gp)"
"(Kelvin Cato, ts_pct, net_rating, player_weight)"
"(Metta World Peace, gp, player_weight, ast)"
"(Kenny Anderson, ast, ast_pct, age)"
"(Michael Redd, usg_pct, oreb_pct, nan)"
"(Michael Olowokandi, player_weight, player_height, reb)"
"(Michael Hawkins, ast_pct, age, nan)"
"(Michael Finley, pts, ast, usg_pct)"
"(Michael Doleac, player_weight, player_height, gp)"
"(Michael Dickerson, pts, ast, usg_pct)"
"(Michael Curry, age, gp, ts_pct)"
"(Michael Ruffin, oreb_pct, dreb_pct, reb)"
"(Felipe Lopez, gp, ts_pct, pts)"
"(Matt Maloney, ast, ast_pct, age)"
"(Matt Harpring, pts, ts_pct, reb)"
"(Matt Geiger, player_height, oreb_pct, dreb_pct)"
"(Matt Bullard, age, net_rating, ts_pct)"
"(Mateen Cleaves, ast_pct, gp, ast)"
"(Mark Strickland, player_height, dreb_pct, age)"
"(Mark Pope, net_rating, player_height, player_weight)"
"(Maurice Taylor, player_weight, usg_pct, pts)"
"(Mark Madsen, oreb_pct, gp, player_weight)"
"(Michael Smith, dreb_pct, reb, oreb_pct)"
"(Mike Bibby, ast, ast_pct, pts)"
"(Olumide Oyedeji, oreb_pct, net_rating, dreb_pct)"
"(Olden Polynice, age, oreb_pct, player_height)"
"(Obinna Ekezie, oreb_pct, player_weight, dreb_pct)"
"(Nick Van Exel, ast, ast_pct, pts)"
"(Nick Anderson, age, net_rating, player_weight)"
"(Nazr Mohammed, oreb_pct, dreb_pct, usg_pct)"
"(Muggsy Bogues, age, ast_pct, nan)"
"(Michael Stewart, oreb_pct, player_height, player_weight)"
"(Morris Peterson, gp, net_rating, usg_pct)"
"(Moochie Norris, ast_pct, gp, ast)"
"(Monty Williams, gp, oreb_pct, age)"
"(Mitch Richmond, age, pts, usg_pct)"
"(Mikki Moore, player_height, oreb_pct, gp)"
"(Mike Smith, player_height, oreb_pct, nan)"
"(Mike Penberthy, ts_pct, net_rating, nan)"
"(Mike Miller, gp, pts, ts_pct)"
"(Mookie Blaylock, ast, ast_pct, age)"
"(Kendall Gill, age, ast, usg_pct)"
"(Mark Jackson, ast, ast_pct, age)"
"(Mark Blount, player_height, oreb_pct, ts_pct)"
"(Lari Ketner, player_weight, ast_pct, player_height)"
"(Lamond Murray, gp, usg_pct, pts)"
"(Lamar Odom, ast, reb, pts)"
"(LaPhonso Ellis, oreb_pct, gp, reb)"
"(Kurt Thomas, reb, oreb_pct, net_rating)"
"(Kornel David, dreb_pct, ts_pct, player_height)"
"(Kobe Bryant, pts, usg_pct, ast)"
"(Laron Profit, ast_pct, ast, nan)"
"(Khalid El-Amin, ast_pct, ast, usg_pct)"
"(Kevin Willis, age, dreb_pct, reb)"
"(Kevin Ollie, ast_pct, gp, net_rating)"
"(Kevin Garnett, reb, pts, dreb_pct)"
"(Kevin Edwards, age, nan, nan)"
"(Keon Clark, gp, player_height, dreb_pct)"
"(Kenyon Martin, reb, dreb_pct, pts)"
"(Kenny Thomas, player_weight, reb, gp)"
"(Keyon Dooling, ast_pct, gp, ast)"
"(Mark Bryant, age, player_weight, dreb_pct)"
"(Larry Hughes, ast, pts, usg_pct)"
"(Larry Robinson, age, ts_pct, nan)"
"(Mario Elie, age, ts_pct, gp)"
"(Marcus Fizer, player_weight, usg_pct, dreb_pct)"
