team,label
"[('Antonio McDyess', 'oreb_pct', 'dreb_pct', 'reb'), ('Howard Eisley', 'ast_pct', 'ast', 'age'), ('Chris Childs', 'ast_pct', 'ast', 'age'), ('Avery Johnson', 'ast_pct', 'age', 'ast'), ('Tom Gugliotta', 'age', 'player_weight', 'player_height')]",0
"[('Jahidi White', 'player_weight', 'dreb_pct', 'oreb_pct'), ('Jerry Stackhouse', 'usg_pct', 'ast', 'ast_pct'), ('Rashard Lewis', 'reb', 'pts', 'ts_pct'), ('Juwan Howard', 'age', 'reb', 'oreb_pct'), ('Kelvin Cato', 'reb', 'dreb_pct', 'ts_pct')]",1
"[('Kenyon Martin', 'reb', 'dreb_pct', 'pts'), ('Desmond Penigar', 'dreb_pct', 'net_rating', 'player_weight'), ('Jerome Moiso', 'dreb_pct', 'player_height', 'oreb_pct'), ('Jason Collier', 'player_height', 'player_weight', 'oreb_pct'), ('Charlie Bell', 'oreb_pct', 'usg_pct', 'nan')]",1
"[('Bryce Drew', 'ast_pct', 'net_rating', 'age'), ('Sam Cassell', 'ast', 'ast_pct', 'pts'), ('Bostjan Nachbar', 'gp', 'player_height', 'ts_pct'), ('Speedy Claxton', 'ast', 'ast_pct', 'net_rating'), ('Calvin Booth', 'player_height', 'net_rating', 'player_weight')]",1
"[('Doug Christie', 'gp', 'ast', 'net_rating'), ('Derrick McKey', 'age', 'player_height', 'player_weight'), ('Slava Medvedenko', 'usg_pct', 'player_weight', 'player_height'), ('Trevor Ariza', 'gp', 'oreb_pct', 'player_height'), ('Brandon Hunter', 'oreb_pct', 'player_weight', 'dreb_pct')]",1
"[('Don MacLean', 'ts_pct', 'oreb_pct', 'age'), ('Cedric Ceballos', 'usg_pct', 'age', 'ts_pct'), ('Bryon Russell', 'age', 'gp', 'dreb_pct'), ('Mateen Cleaves', 'ast_pct', 'nan', 'nan'), ('Vin Baker', 'player_height', 'age', 'oreb_pct')]",0
"[('Tracy Murray', 'usg_pct', 'age', 'ts_pct'), ('Jamal Sampson', 'ast_pct', 'oreb_pct', 'net_rating'), ('Manu Ginobili', 'net_rating', 'ts_pct', 'gp'), ('Larry Hughes', 'ast', 'ast_pct', 'pts'), ('Cal Bowdler', 'player_height', 'oreb_pct', 'player_weight')]",1
"[('Travis Knight', 'player_height', 'dreb_pct', 'player_weight'), ('Cedric Henderson', 'net_rating', 'usg_pct', 'ts_pct'), ('Brian Shaw', 'age', 'gp', 'ast_pct'), ('Earl Boykins', 'ast_pct', 'gp', 'ast'), ('Andrei Kirilenko', 'ts_pct', 'gp', 'pts')]",1
"[('Loren Woods', 'player_height', 'oreb_pct', 'player_weight'), ('Devin Brown', 'oreb_pct', 'usg_pct', 'player_weight'), ('Shawn Marion', 'reb', 'pts', 'gp'), ('Kevin Ollie', 'ast_pct', 'gp', 'ast'), ('Chris Mihm', 'player_height', 'player_weight', 'oreb_pct')]",1
"[('Carlos Boozer', 'reb', 'pts', 'dreb_pct'), ('Trenton Hassell', 'gp', 'ts_pct', 'net_rating'), ('Alvin Jones', 'oreb_pct', 'dreb_pct', 'player_weight'), ('James Jones', 'gp', 'ts_pct', 'net_rating'), ('Nene', 'player_weight', 'reb', 'player_height')]",1
"[('Kevin Garnett', 'reb', 'pts', 'dreb_pct'), ('Andris Biedrins', 'oreb_pct', 'player_height', 'dreb_pct'), ('Mark Madsen', 'oreb_pct', 'net_rating', 'player_weight'), ('Ryan Bowen', 'oreb_pct', 'player_height', 'ts_pct'), ('Marcus Haislip', 'player_height', 'usg_pct', 'player_weight')]",1
"[('Wesley Person', 'pts', 'ts_pct', 'gp'), ('Calvin Booth', 'player_height', 'dreb_pct', 'age'), ('Tom Gugliotta', 'age', 'player_height', 'reb'), ('Kyle Korver', 'gp', 'ts_pct', 'pts'), ('Gary Payton', 'ast', 'ast_pct', 'pts')]",1
"[('Rafer Alston', 'ast_pct', 'ast', 'usg_pct'), ('Stephen Jackson', 'usg_pct', 'player_height', 'nan'), ('Jason Williams', 'ast', 'ast_pct', 'gp'), (""Shaquille O'Neal"", 'pts', 'player_weight', 'reb'), ('Kelvin Cato', 'reb', 'dreb_pct', 'ts_pct')]",1
"[('Sam Cassell', 'ast_pct', 'ast', 'age'), ('Mateen Cleaves', 'ast_pct', 'gp', 'ast'), ('Tony Bobbitt', 'dreb_pct', 'usg_pct', 'ts_pct'), ('Jake Tsakalidis', 'player_weight', 'player_height', 'oreb_pct'), ('Pat Burke', 'player_height', 'player_weight', 'usg_pct')]",1
"[('Steve Blake', 'ast_pct', 'nan', 'nan'), ('Sean Rooks', 'age', 'player_weight', 'player_height'), ('Zydrunas Ilgauskas', 'player_height', 'reb', 'oreb_pct'), ('Laron Profit', 'dreb_pct', 'ast_pct', 'oreb_pct'), ('Antonio Daniels', 'ast_pct', 'ast', 'gp')]",0
"[('Maurice Taylor', 'player_weight', 'usg_pct', 'oreb_pct'), ('Andre Barrett', 'ast_pct', 'net_rating', 'ast'), ('Joel Przybilla', 'player_height', 'player_weight', 'dreb_pct'), ('James Thomas', 'oreb_pct', 'dreb_pct', 'ts_pct'), ('Michael Dickerson', 'ts_pct', 'age', 'nan')]",1
"[('Jerome Moiso', 'dreb_pct', 'oreb_pct', 'player_height'), ('Jud Buechler', 'age', 'gp', 'dreb_pct'), ('Kenny Thomas', 'reb', 'pts', 'player_weight'), ('Ben Wallace', 'reb', 'dreb_pct', 'oreb_pct'), ('Jason Terry', 'ast', 'ast_pct', 'ts_pct')]",1
"[('Toni Kukoc', 'age', 'player_height', 'ast_pct'), ('Larry Hughes', 'ast', 'pts', 'usg_pct'), ('Damon Stoudamire', 'ast', 'ast_pct', 'pts'), ('Calbert Cheaney', 'gp', 'age', 'net_rating'), ('Kevin Ollie', 'ast_pct', 'gp', 'ast')]",1
"[('Ron Mercer', 'usg_pct', 'net_rating', 'age'), ('Rodney Buford', 'gp', 'dreb_pct', 'usg_pct'), ('Popeye Jones', 'oreb_pct', 'reb', 'dreb_pct'), ('Kevin Willis', 'age', 'dreb_pct', 'oreb_pct'), ('Darvin Ham', 'oreb_pct', 'player_weight', 'age')]",1
"[('Shandon Anderson', 'net_rating', 'age', 'gp'), ('Eldridge Recasner', 'ast_pct', 'age', 'net_rating'), ('Chris Wilcox', 'player_height', 'net_rating', 'oreb_pct'), ('David West', 'dreb_pct', 'oreb_pct', 'reb'), ('Ansu Sesay', 'ts_pct', 'player_height', 'oreb_pct')]",1
"[('Kevin Garnett', 'reb', 'pts', 'dreb_pct'), ('Jarron Collins', 'player_weight', 'ts_pct', 'gp'), ('Ben Handlogten', 'dreb_pct', 'oreb_pct', 'age'), ('Danny Fortson', 'oreb_pct', 'ts_pct', 'dreb_pct'), ('Charlie Ward', 'ast_pct', 'age', 'ast')]",1
"[('Darrick Martin', 'ast_pct', 'usg_pct', 'age'), ('Terence Morris', 'gp', 'player_height', 'oreb_pct'), ('Chris Dudley', 'age', 'dreb_pct', 'oreb_pct'), ('Michael Doleac', 'player_weight', 'player_height', 'gp'), ('Dirk Nowitzki', 'pts', 'reb', 'dreb_pct')]",1
"[('Randy Livingston', 'ast_pct', 'age', 'nan'), ('Mike Dunleavy', 'gp', 'pts', 'reb'), ('Ben Handlogten', 'oreb_pct', 'dreb_pct', 'ts_pct'), ('Drew Gooden', 'reb', 'dreb_pct', 'pts'), ('Jabari Smith', 'player_height', 'player_weight', 'net_rating')]",1
"[('Brent Barry', 'ast', 'ts_pct', 'ast_pct'), ('Mark Strickland', 'oreb_pct', 'dreb_pct', 'age'), ('Jake Voskuhl', 'player_weight', 'player_height', 'net_rating'), ('Andre Iguodala', 'gp', 'ts_pct', 'reb'), ('Horace Grant', 'age', 'player_height', 'player_weight')]",1
"[('Ndudi Ebi', 'usg_pct', 'ast_pct', 'player_height'), ('Steve Blake', 'ast_pct', 'nan', 'nan'), ('Damone Brown', 'usg_pct', 'player_height', 'nan'), ('Danny Ferry', 'age', 'player_height', 'net_rating'), ('Derek Anderson', 'ast', 'pts', 'ast_pct')]",0
"[('Adonal Foyle', 'player_weight', 'oreb_pct', 'gp'), ('Brian Cardinal', 'net_rating', 'ts_pct', 'player_weight'), ('Yao Ming', 'player_weight', 'player_height', 'reb'), ('Ben Handlogten', 'dreb_pct', 'oreb_pct', 'age'), ('Jamal Crawford', 'ast_pct', 'ts_pct', 'usg_pct')]",1
"[('Omar Cook', 'ast_pct', 'net_rating', 'ast'), ('Dan Dickau', 'ast_pct', 'usg_pct', 'ts_pct'), ('Eddie Jones', 'pts', 'gp', 'usg_pct'), ('Pau Gasol', 'reb', 'pts', 'player_height'), ('Ronald Dupree', 'oreb_pct', 'dreb_pct', 'ts_pct')]",1
